Date, A, B
11-07-2020 13:12, 0, 1
11-07-2020 13:22, 1, 0
11-07-2020 13:29, 0, 1
11-07-2020 13:33, 0, 1
11-07-2020 13:42, 0.5, 0.5
11-07-2020 13:46, 0, 1
11-07-2020 13:54, 0.5, 0.5
11-07-2020 14:00, 1, 0
11-07-2020 14:13, 0, 1
11-07-2020 14:23, 0, 1
11-07-2020 14:31, 1, 0
11-07-2020 15:52, 0, 1
11-07-2020 15:52, 1, 0
11-07-2020 16:11, 1, 0
11-07-2020 16:18, 1, 0
11-07-2020 16:27, 1, 0
01-09-2020 16:14, 1, 0
01-09-2020 16:19, 1, 0
01-09-2020 16:31, 1, 0
01-09-2020 16:39, 0, 1
01-09-2020 16:47, 0, 1
01-09-2020 16:56, 0, 1
01-09-2020 17:03, 0, 1
01-09-2020 17:10, 0, 1
01-09-2020 17:19, 0, 1
01-09-2020 17:28, 0, 1
01-09-2020 17:37, 1, 0
01-09-2020 17:45, 1, 0
01-09-2020 17:50, 0, 1
01-09-2020 18:00, 1, 0
01-09-2020 18:08, 0, 1
01-09-2020 18:18, 0, 1
01-09-2020 18:30, 0, 1
01-09-2020 18:35, 0, 1
01-09-2020 18:41, 1, 0
01-09-2020 18:49, 1, 0
01-09-2020 18:57, 0, 1
01-09-2020 19:07, 0, 1
01-09-2020 19:16, 1, 0
01-09-2020 19:21, 1, 0
01-09-2020 19:28, 1, 0
02-09-2020 14:56, 1, 0
02-09-2020 15:05, 1, 0
02-09-2020 15:08, 1, 0
02-09-2020 15:09, 1, 0
02-09-2020 15:19, 1, 0
02-09-2020 15:25, 1, 0
02-09-2020 15:34, 0, 1
02-09-2020 15:46, 0, 1
02-09-2020 15:52, 1, 0
02-09-2020 15:56, 0, 1
02-09-2020 16:05, 1, 0
02-09-2020 16:06, 1, 0
02-09-2020 16:38, 1, 0
02-09-2020 16:43, 1, 0
02-09-2020 16:50, 1, 0
02-09-2020 16:51, 0, 1
02-09-2020 16:51, 0, 1
02-09-2020 16:56, 1, 0
07-09-2020 19:22, 0, 1
07-09-2020 19:30, 1, 0
07-09-2020 19:39, 0.5, 0.5
07-09-2020 19:49, 0, 1
07-09-2020 19:56, 0, 1
07-09-2020 20:07, 1, 0
16-09-2020 15:27, 0, 1
16-09-2020 15:30, 0, 1
16-09-2020 15:38, 1, 0
16-09-2020 15:47, 0, 1
16-09-2020 15:57, 1, 0
16-09-2020 16:06, 0, 1
16-09-2020 16:13, 0, 1
16-09-2020 16:19, 1, 0
16-09-2020 16:32, 1, 0
16-09-2020 16:40, 0, 1
16-09-2020 17:39, 0, 1
16-09-2020 17:46, 0, 1
16-09-2020 17:52, 1, 0
17-09-2020 15:04, 0, 1
